scenario,age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
vax7778,All,40,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7778,All,40,All,3406876,na,na,na,na,na,628.83,na,na,na,na,303219.33,na,na,na,na,8928.90
vax7778,0-4 yrs,50,High,14310.91,na,na,na,na,na,1404.39,na,na,na,na,215850.50,na,na,na,na,2783.41
vax7778,0-4 yrs,50,Non-high,209297.09,na,na,na,na,na,176.38,na,na,na,na,1299386.00,na,na,na,na,15357.70
vax7778,0-4 yrs,50,All,223608,na,na,na,na,na,254.97,na,na,na,na,469163.38,na,na,na,na,5923.83
vax7778,5-19 yrs,50,High,40938.3,na,na,na,na,na,2956.69,na,na,na,na,453564.90,na,na,na,na,6704.55
vax7778,5-19 yrs,50,Non-high,598722.7,na,na,na,na,na,272.98,na,na,na,na,2009487.00,na,na,na,na,26900.60
vax7778,5-19 yrs,50,All,639661,na,na,na,na,na,444.74,na,na,na,na,817000.23,na,na,na,na,11789.82
vax7778,20-64 yrs,50,High,321847.06,na,na,na,na,na,2270.38,na,na,na,na,175782.40,na,na,na,na,4510.05
vax7778,20-64 yrs,50,Non-high,1913201.94,na,na,na,na,na,310.70,na,na,na,na,1026515.00,na,na,na,na,24364.55
vax7778,20-64 yrs,50,All,2235049,na,na,na,na,na,592.89,na,na,na,na,279802.60,na,na,na,na,7108.52
vax7778,65+ yrs,50,High,157981.7,na,na,na,na,na,5053.86,na,na,na,na,192003.60,na,na,na,na,13392.01
vax7778,65+ yrs,50,Non-high,150576.3,na,na,na,na,na,669.93,na,na,na,na,193804.10,na,na,na,na,13289.71
vax7778,65+ yrs,50,All,308558,na,na,na,na,na,2914.50,na,na,na,na,192203.88,na,na,na,na,13380.46
vax7778,All,50,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7778,All,50,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7778,All,50,All,3406876,na,na,na,na,na,631.68,na,na,na,na,304743.84,na,na,na,na,8972.02
vax7778,0-4 yrs,60,High,14310.91,na,na,na,na,na,1404.39,na,na,na,na,215850.80,na,na,na,na,2783.41
vax7778,0-4 yrs,60,Non-high,209297.09,na,na,na,na,na,176.38,na,na,na,na,1299404.00,na,na,na,na,15357.91
vax7778,0-4 yrs,60,All,223608,na,na,na,na,na,254.97,na,na,na,na,469167.92,na,na,na,na,5923.89
vax7778,5-19 yrs,60,High,40938.3,na,na,na,na,na,2956.69,na,na,na,na,453565.20,na,na,na,na,6704.55
vax7778,5-19 yrs,60,Non-high,598722.7,na,na,na,na,na,272.98,na,na,na,na,2009500.00,na,na,na,na,26900.79
vax7778,5-19 yrs,60,All,639661,na,na,na,na,na,444.74,na,na,na,na,817003.17,na,na,na,na,11789.87
vax7778,20-64 yrs,60,High,321847.06,na,na,na,na,na,2270.38,na,na,na,na,175782.70,na,na,na,na,4510.06
vax7778,20-64 yrs,60,Non-high,1913201.94,na,na,na,na,na,310.70,na,na,na,na,1026527.00,na,na,na,na,24364.84
vax7778,20-64 yrs,60,All,2235049,na,na,na,na,na,592.90,na,na,na,na,279804.34,na,na,na,na,7108.56
vax7778,65+ yrs,60,High,157981.7,na,na,na,na,na,5053.87,na,na,na,na,192003.80,na,na,na,na,13392.03
vax7778,65+ yrs,60,Non-high,150576.3,na,na,na,na,na,669.94,na,na,na,na,193806.20,na,na,na,na,13289.85
vax7778,65+ yrs,60,All,308558,na,na,na,na,na,2914.51,na,na,na,na,192204.32,na,na,na,na,13380.49
vax7778,All,60,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7778,All,60,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7778,All,60,All,3406876,na,na,na,na,na,631.69,na,na,na,na,304745.54,na,na,na,na,8972.08
