age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
0-4 yrs,30,High,14310.91,na,na,na,na,na,"$1,361.07 ",na,na,na,na,"$209,192.40 ",na,na,na,na,"$2,697.57 "
0-4 yrs,30,Non-high,209297.09,na,na,na,na,na,$133.06 ,na,na,na,na,"$980,244.00 ",na,na,na,na,"$11,585.58 "
0-4 yrs,30,All,223608,na,na,na,na,na,$211.65 ,na,na,na,na,"$389,451.76 ",na,na,na,na,"$4,917.37 "
5-19 yrs,30,High,40938.3,na,na,na,na,na,"$2,937.75 ",na,na,na,na,"$450,659.90 ",na,na,na,na,"$6,661.60 "
5-19 yrs,30,Non-high,598722.7,na,na,na,na,na,$254.04 ,na,na,na,na,"$1,870,085.00 ",na,na,na,na,"$25,034.41 "
5-19 yrs,30,All,639661,na,na,na,na,na,$425.80 ,na,na,na,na,"$782,211.86 ",na,na,na,na,"$11,287.79 "
20-64 yrs,30,High,321847.06,na,na,na,na,na,"$2,223.34 ",na,na,na,na,"$172,140.80 ",na,na,na,na,"$4,416.61 "
20-64 yrs,30,Non-high,1913201.94,na,na,na,na,na,$263.67 ,na,na,na,na,"$871,118.70 ",na,na,na,na,"$20,676.18 "
20-64 yrs,30,All,2235049,na,na,na,na,na,$545.86 ,na,na,na,na,"$257,605.75 ",na,na,na,na,"$6,544.59 "
65+ yrs,30,High,157981.7,na,na,na,na,na,"$5,012.30 ",na,na,na,na,"$190,424.80 ",na,na,na,na,"$13,281.89 "
65+ yrs,30,Non-high,150576.3,na,na,na,na,na,$628.37 ,na,na,na,na,"$181,782.40 ",na,na,na,na,"$12,465.32 "
65+ yrs,30,All,308558,na,na,na,na,na,"$2,872.95 ",na,na,na,na,"$189,463.35 ",na,na,na,na,"$13,189.67 "
All,30,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,30,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,30,All,3406876,na,na,na,na,na,$596.77 ,na,na,na,na,"$286,822.98 ",na,na,na,na,"$8,458.90 "
0-4 yrs,40,High,14310.91,na,na,na,na,na,"$1,396.13 ",na,na,na,na,"$214,580.60 ",na,na,na,na,"$2,767.03 "
0-4 yrs,40,Non-high,209297.09,na,na,na,na,na,$168.11 ,na,na,na,na,"$1,238,516.00 ",na,na,na,na,"$14,638.24 "
0-4 yrs,40,All,223608,na,na,na,na,na,$246.71 ,na,na,na,na,"$453,959.98 ",na,na,na,na,"$5,731.87 "
5-19 yrs,40,High,40938.3,na,na,na,na,na,"$2,953.14 ",na,na,na,na,"$453,020.20 ",na,na,na,na,"$6,696.50 "
5-19 yrs,40,Non-high,598722.7,na,na,na,na,na,$269.43 ,na,na,na,na,"$1,983,350.00 ",na,na,na,na,"$26,550.71 "
5-19 yrs,40,All,639661,na,na,na,na,na,$441.19 ,na,na,na,na,"$810,477.43 ",na,na,na,na,"$11,695.69 "
20-64 yrs,40,High,321847.06,na,na,na,na,na,"$2,261.53 ",na,na,na,na,"$175,097.40 ",na,na,na,na,"$4,492.47 "
20-64 yrs,40,Non-high,1913201.94,na,na,na,na,na,$301.85 ,na,na,na,na,"$997,283.10 ",na,na,na,na,"$23,670.72 "
20-64 yrs,40,All,2235049,na,na,na,na,na,$584.05 ,na,na,na,na,"$275,627.09 ",na,na,na,na,"$7,002.44 "
