age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
All,40,Non-high,2871798.03,84421390,310619.784,10816.21272,297375.755,10355.03722,283.89,95.927,3.340311503,93.30009,3.248838845,904837.18,3918.295,136.4404793,3771.449,131.327097,22384.34
All,40,All,3406876,211101619,355595.816,10437.59198,341025.158,10009.911,619.02,730.314,21.43647142,713.74661,20.95,295765.49,24906.1242,731.0546143,24141.4581,708.6098261,8744.36
0-4 yrs,30,High,14310.91,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
0-4 yrs,30,Non-high,209297.09,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
0-4 yrs,30,All,223608,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
5-19 yrs,30,High,40938.3,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
5-19 yrs,30,Non-high,598722.7,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
5-19 yrs,30,All,639661,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
20-64 yrs,30,High,321847.06,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
20-64 yrs,30,Non-high,1913201.94,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
20-64 yrs,30,All,2235049,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
65+ yrs,30,High,157981.7,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
65+ yrs,30,Non-high,150576.3,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
65+ yrs,30,All,308558,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
All,30,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,30,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,30,All,3406876,na,na,na,na,na,0,na,na,na,na,0,na,na,na,na,0
