age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
0-4 yrs,30,High,14310.91,na,na,na,na,na,"$1,305.73 ",na,na,na,na,"$200,686.90 ",na,na,na,na,"$2,587.92 "
0-4 yrs,30,Non-high,209297.09,na,na,na,na,na,$77.72 ,na,na,na,na,"$572,552.30 ",na,na,na,na,"$6,766.89 "
0-4 yrs,30,All,223608,na,na,na,na,na,$156.31 ,na,na,na,na,"$287,622.98 ",na,na,na,na,"$3,631.66 "
5-19 yrs,30,High,40938.3,na,na,na,na,na,"$2,911.73 ",na,na,na,na,"$446,668.80 ",na,na,na,na,"$6,602.58 "
5-19 yrs,30,Non-high,598722.7,na,na,na,na,na,$228.02 ,na,na,na,na,"$1,678,565.00 ",na,na,na,na,"$22,470.46 "
5-19 yrs,30,All,639661,na,na,na,na,na,$399.78 ,na,na,na,na,"$734,417.55 ",na,na,na,na,"$10,598.04 "
20-64 yrs,30,High,321847.06,na,na,na,na,na,"$2,165.69 ",na,na,na,na,"$167,677.40 ",na,na,na,na,"$4,302.10 "
20-64 yrs,30,Non-high,1913201.94,na,na,na,na,na,$206.02 ,na,na,na,na,"$680,656.10 ",na,na,na,na,"$16,155.50 "
20-64 yrs,30,All,2235049,na,na,na,na,na,$488.21 ,na,na,na,na,"$230,399.98 ",na,na,na,na,"$5,853.42 "
65+ yrs,30,High,157981.7,na,na,na,na,na,"$4,876.78 ",na,na,na,na,"$185,276.10 ",na,na,na,na,"$12,922.77 "
65+ yrs,30,Non-high,150576.3,na,na,na,na,na,$492.85 ,na,na,na,na,"$142,577.20 ",na,na,na,na,"$9,776.87 "
65+ yrs,30,All,308558,na,na,na,na,na,"$2,737.42 ",na,na,na,na,"$180,526.02 ",na,na,na,na,"$12,567.47 "
All,30,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,30,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,30,All,3406876,na,na,na,na,na,$550.51 ,na,na,na,na,"$261,118.06 ",na,na,na,na,"$7,744.85 "
0-4 yrs,40,High,14310.91,na,na,na,na,na,"$1,400.44 ",na,na,na,na,"$215,244.40 ",na,na,na,na,"$2,775.60 "
0-4 yrs,40,Non-high,209297.09,na,na,na,na,na,$172.43 ,na,na,na,na,"$1,270,335.00 ",na,na,na,na,"$15,014.25 "
0-4 yrs,40,All,223608,na,na,na,na,na,$251.03 ,na,na,na,na,"$461,907.29 ",na,na,na,na,"$5,832.22 "
5-19 yrs,40,High,40938.3,na,na,na,na,na,"$2,954.35 ",na,na,na,na,"$453,207.20 ",na,na,na,na,"$6,699.26 "
5-19 yrs,40,Non-high,598722.7,na,na,na,na,na,$270.65 ,na,na,na,na,"$1,992,323.00 ",na,na,na,na,"$26,670.80 "
5-19 yrs,40,All,639661,na,na,na,na,na,$442.40 ,na,na,na,na,"$812,716.69 ",na,na,na,na,"$11,728.00 "
20-64 yrs,40,High,321847.06,na,na,na,na,na,"$2,265.90 ",na,na,na,na,"$175,435.80 ",na,na,na,na,"$4,501.15 "
20-64 yrs,40,Non-high,1913201.94,na,na,na,na,na,$306.22 ,na,na,na,na,"$1,011,723.00 ",na,na,na,na,"$24,013.46 "
20-64 yrs,40,All,2235049,na,na,na,na,na,$588.42 ,na,na,na,na,"$277,689.67 ",na,na,na,na,"$7,054.84 "
65+ yrs,40,High,157981.7,na,na,na,na,na,"$5,042.39 ",na,na,na,na,"$191,567.80 ",na,na,na,na,"$13,361.61 "
65+ yrs,40,Non-high,150576.3,na,na,na,na,na,$658.46 ,na,na,na,na,"$190,485.90 ",na,na,na,na,"$13,062.16 "
65+ yrs,40,All,308558,na,na,na,na,na,"$2,903.03 ",na,na,na,na,"$191,447.43 ",na,na,na,na,"$13,327.79 "
All,40,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,40,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,40,All,3406876,na,na,na,na,na,$628.71 ,na,na,na,na,"$302,157.78 ",na,na,na,na,"$8,910.00 "
