"","scenario","age","v.eff","metric","High","Non-high","All"
"85","vax70","All","10","dalys.per100k",11203.56,380.75,2080.56
"86","vax70","0-4 yrs","10","deaths.per100k",166.07,3.46,13.87
"87","vax70","5-19 yrs","10","deaths.per100k",350.45,7.3,29.26
"88","vax70","20-64 yrs","10","deaths.per100k",305.8,7.17,50.17
"89","vax70","65+ yrs","10","deaths.per100k",443.22,58.21,255.34
"90","vax70","All","10","deaths.per100k",346.05,9.6,62.44
"91","vax70","0-4 yrs","20","cases.per100k",17814.52,17814.51,17814.51
"92","vax70","5-19 yrs","20","cases.per100k",40475.67,40475.67,40475.66
"93","vax70","20-64 yrs","20","cases.per100k",16636.28,16636.28,16636.28
"94","vax70","65+ yrs","20","cases.per100k",11636.63,11636.63,11636.63
"95","vax70","All","20","cases.per100k",17015.58,21430.13,20736.78
"96","vax70","0-4 yrs","20","dalys.per100k",8988.59,204.59,766.76
"97","vax70","5-19 yrs","20","dalys.per100k",17849.57,410.73,1526.82
"98","vax70","20-64 yrs","20","dalys.per100k",8374.77,212.15,1387.57
"99","vax70","65+ yrs","20","dalys.per100k",4391.41,586.6,2534.66
"100","vax70","All","20","dalys.per100k",7940.01,272.63,1476.86
"101","vax70","0-4 yrs","20","deaths.per100k",115.91,2.42,9.68
"102","vax70","5-19 yrs","20","deaths.per100k",263.85,5.5,22.03
"103","vax70","20-64 yrs","20","deaths.per100k",214.87,5.04,35.25
"104","vax70","65+ yrs","20","deaths.per100k",306.3,40.22,176.45
"105","vax70","All","20","deaths.per100k",242.97,6.79,43.88
"106","vax70","0-4 yrs","30","cases.per100k",0,0,0
"107","vax70","5-19 yrs","30","cases.per100k",0,0,0
"108","vax70","20-64 yrs","30","cases.per100k",0,0,0
"109","vax70","65+ yrs","30","cases.per100k",0,0,0
"110","vax70","All","30","cases.per100k",0,0,0
"111","vax70","0-4 yrs","30","dalys.per100k",0,0,0
"112","vax70","5-19 yrs","30","dalys.per100k",0,0,0
"113","vax70","20-64 yrs","30","dalys.per100k",0,0,0
"114","vax70","65+ yrs","30","dalys.per100k",0,0,0
"115","vax70","All","30","dalys.per100k",0,0,0
"116","vax70","0-4 yrs","30","deaths.per100k",0,0,0
"117","vax70","5-19 yrs","30","deaths.per100k",0,0,0
"118","vax70","20-64 yrs","30","deaths.per100k",0,0,0
"119","vax70","65+ yrs","30","deaths.per100k",0,0,0
"120","vax70","All","30","deaths.per100k",0,0,0
