"","scenario","age","v.eff","icer","High","Non-high","All"
"69","vaxbase","65+ yrs","50","icer.daly.averted",13725.58,15786.9,13958.38
"70","vaxbase","All","50","icer.daly.averted",6507.76,28583.73,9887.77
"71","vaxbase","0-4 yrs","50","icer.death.averted",226985.1,1833101,602468.8
"72","vaxbase","5-19 yrs","50","icer.death.averted",457583.2,2202314,865120.8
"73","vaxbase","20-64 yrs","50","icer.death.averted",183049.2,1336604,324095.7
"74","vaxbase","65+ yrs","50","icer.death.averted",196785.9,230219.6,200505.2
"75","vaxbase","All","50","icer.death.averted",208879.6,1120289,326416.5
"76","vax70","0-4 yrs","10","icer.case.averted",1259.33,31.31,109.91
"77","vax70","5-19 yrs","10","icer.case.averted",2836.29,152.58,324.34
"78","vax70","20-64 yrs","10","icer.case.averted",2109.08,149.41,431.6
"79","vax70","65+ yrs","10","icer.case.averted",4888.13,504.2,2748.77
"80","vax70","All","10","icer.case.averted",2817.17,154.65,524.65
"81","vax70","0-4 yrs","10","icer.daly.averted",2495.86,2726.77,2553.53
"82","vax70","5-19 yrs","10","icer.daly.averted",6431.57,15036.31,8598.2
"83","vax70","20-64 yrs","10","icer.daly.averted",4189.64,11716.12,5174.67
"84","vax70","65+ yrs","10","icer.daly.averted",12952.85,10002.05,12619.6
"85","vax70","All","10","icer.daly.averted",6041.27,11729.04,6889.2
"86","vax70","0-4 yrs","10","icer.death.averted",193555,230699.8,202238.86
"87","vax70","5-19 yrs","10","icer.death.averted",435095.8,1123213,595827.45
"88","vax70","20-64 yrs","10","icer.death.averted",163294.3,493617.3,203683.33
"89","vax70","65+ yrs","10","icer.death.averted",185707.1,145859.3,181274.25
"90","vax70","All","10","icer.death.averted",188282.44,441067.65,220333.32
"91","vax70","0-4 yrs","20","icer.case.averted",1390.48,162.47,241.06
"92","vax70","5-19 yrs","20","icer.case.averted",2925.47,241.76,413.52
"93","vax70","20-64 yrs","20","icer.case.averted",2252.39,292.71,574.9
"94","vax70","65+ yrs","20","icer.case.averted",5071.49,687.56,2932.13
"95","vax70","All","20","icer.case.averted",2953.04,280.78,647.78
"96","vax70","0-4 yrs","20","icer.daly.averted",2755.8,14147.16,5600.69
"97","vax70","5-19 yrs","20","icer.daly.averted",6633.78,23824.26,10962.26
"98","vax70","20-64 yrs","20","icer.daly.averted",4474.31,22953.88,6892.84
"99","vax70","65+ yrs","20","icer.daly.averted",13438.73,13639.45,13461.4
"100","vax70","All","20","icer.daly.averted",6330.13,21419.56,8593.95
"101","vax70","0-4 yrs","20","icer.death.averted",213713,1196930,443573.1
"102","vax70","5-19 yrs","20","icer.death.averted",448775.8,1779673,759649.17
"103","vax70","20-64 yrs","20","icer.death.averted",174389.6,967080.8,271312.98
"104","vax70","65+ yrs","20","icer.death.averted",192673.2,198903.4,193366.29
"105","vax70","All","20","icer.death.averted",198839.78,814103.43,277166.27
"106","vax70","0-4 yrs","30","icer.case.averted",1460.45,232.44,311.03
"107","vax70","5-19 yrs","30","icer.case.averted",2974.59,290.89,462.64
"108","vax70","20-64 yrs","30","icer.case.averted",2329.72,370.04,652.24
"109","vax70","65+ yrs","30","icer.case.averted",5170.72,786.79,3031.36
"110","vax70","All","30","icer.case.averted",3012.03,345.37,698.82
"111","vax70","0-4 yrs","30","icer.daly.averted",2894.46,20239.57,7226.25
"112","vax70","5-19 yrs","30","icer.daly.averted",6745.19,28665.58,12264.63
"113","vax70","20-64 yrs","30","icer.daly.averted",4627.93,29018.18,7820.02
"114","vax70","65+ yrs","30","icer.daly.averted",13701.68,15607.99,13916.98
"115","vax70","All","30","icer.daly.averted",6455.62,26795.69,9569.85
"116","vax70","0-4 yrs","30","icer.death.averted",224466.6,1712382,572317.1
"117","vax70","5-19 yrs","30","icer.death.averted",456312.1,2141318,849899.1
"118","vax70","20-64 yrs","30","icer.death.averted",180377,1222578,307808.3
"119","vax70","65+ yrs","30","icer.death.averted",196443.2,227610.4,199910.5
"120","vax70","All","30","icer.death.averted",207206.1,1050210,315921.3
